formula,probability,confidence
Mn2CrBr4,0.9992765165699993,Very High
Mn2CrCl4,0.9992293373626762,Very High
Mn2CrI4,0.9991423576493729,Very High
Mn2CrF4,0.999083839919833,Very High
Mn2FeO4,0.9990130118075068,Very High
Mn2CrO4,0.9989801421832577,Very High
Mn2FeCl4,0.9988439860318101,Very High
Mn2FeI4,0.9987690085185135,Very High
Mn2CoCl4,0.9987355884280952,Very High
Fe2CoCl4,0.9987055367796782,Very High
Mn2CrS4,0.9986256306403103,Very High
Mn2VCl4,0.9985747997576989,Very High
Mn2CrTe4,0.9985510727341652,Very High
Mn2FeBr4,0.9985489242927218,Very High
MnCrBr3,0.9985380779458124,Very High
Mn2VBr4,0.9985181072799567,Very High
Cr2CoCl4,0.9984825252821812,Very High
FeCoBr3,0.9984771537462659,Very High
Mn2FeS4,0.9984726543081495,Very High
Mn2NiBr4,0.9984372272871747,Very High
Mn2FeF4,0.9984225203041543,Very High
CrFeBr3,0.9983830284724552,Very High
MnFeBr3,0.998360864275039,Very High
Fe2CoBr4,0.9983281386133742,Very High
Mn2CoO4,0.9983205196604246,Very High
FeCoCl3,0.9983139845658628,Very High
Mn2CoBr4,0.9982376263807149,Very High
V(CrCl2)2,0.9982079433547079,Very High
Fe2CoF4,0.9981638497980709,Very High
Mn2CoI4,0.9981637416396945,Very High
Mn2VTe4,0.9981177228190004,Very High
Mn2CoF4,0.998097651101466,Very High
Fe2CoI4,0.9980804094471689,Very High
CrFeCl3,0.9980715352363493,Very High
Mn2FeTe4,0.9979984179891234,Very High
Cr2FeCl4,0.9979554830216085,Very High
Mn2NiCl4,0.9978938081083741,Very High
Mn2VI4,0.9978679381891324,Very High
CrCoBr3,0.9978160629904623,Very High
MnFeCl3,0.9976642264542344,Very High
MnCrCl3,0.9976635900332205,Very High
Mn2VS4,0.9975530783495196,Very High
Cr2FeO4,0.9974803875787761,Very High
Fe2CoO4,0.9974371857489946,Very High
Mn2CoS4,0.9974210684414436,Very High
MnFeO3,0.9973977605610433,Very High
MnCoBr3,0.9973914881353213,Very High
Mn2NiO4,0.9973376116174116,Very High
MnCoCl3,0.9973152920910925,Very High
Cr2FeBr4,0.9973145681089776,Very High
V(CrTe2)2,0.9973029434002609,Very High
MnNiBr3,0.9972761455489736,Very High
Mn2VO4,0.9972663876548183,Very High
Mn2NiF4,0.9972063160361807,Very High
MnNiCl3,0.9972061958228736,Very High
Mn2NiI4,0.9971469104828318,Very High
MnCrF3,0.9971392770737824,Very High
Mn2CrSe4,0.9970880822405578,Very High
Mn2VF4,0.997066563348671,Very High
Cr2NiBr4,0.9969505626093689,Very High
CrFeO3,0.9969200066141992,Very High
MnFeI3,0.9969044799981818,Very High
Cr2NiCl4,0.9968874426278833,Very High
MnVCl3,0.9968466340878017,Very High
CrCoCl3,0.9968097663998572,Very High
MnFeF3,0.9967946701670084,Very High
Fe2NiO4,0.9967516609384298,Very High
FeCoI3,0.9966597410916495,Very High
MnCoF3,0.9966453657471942,Very High
Cr2CoBr4,0.9966402154007279,Very High
MnCrO3,0.9965983686901311,Very High
MnVBr3,0.9965667010087446,Very High
MnFeSe3,0.9965520686486465,Very High
MnCrI3,0.9965433310608127,Very High
MnFeS3,0.9965413280951385,Very High
MnNiI3,0.9965223150640649,Very High
Fe2NiBr4,0.9965110547762812,Very High
FeCoF3,0.9964590542425737,Very High
Cr2CoO4,0.9964048220609939,Very High
MnVTe3,0.9963134253380539,Very High
V(CrBr2)2,0.9961971134250641,Very High
MnNiO3,0.996196035053891,Very High
Cr2FeI4,0.9961613340356604,Very High
Mn2VSe4,0.996000020148469,Very High
MnCoI3,0.9959971547673158,Very High
CrFeI3,0.9959019427219632,Very High
CrNiCl3,0.9958441454078519,Very High
Fe2NiI4,0.9955930036217092,Very High
MnMoBr3,0.9955489202192965,Very High
Cr2FeF4,0.9955315771666573,Very High
Cr2NiO4,0.9954195710376672,Very High
Fe2NiCl4,0.9953835677930486,Very High
Cr2CoF4,0.9953620910301105,Very High
V(CrSe2)2,0.9953424823184962,Very High
Mn2FeSe4,0.9953240231200464,Very High
CrFeF3,0.9952241272054005,Very High
V(CrS2)2,0.9952216395781099,Very High
V(CrI2)2,0.9951765735048473,Very High
MnNiF3,0.9951763317704797,Very High
Mn2NiS4,0.9951538772402345,Very High
MnCrBr4,0.9951028036726586,Very High
FeNiO3,0.9949207204311754,Very High
Mn2CoTe4,0.9949095053656226,Very High
MnCrSe3,0.9948397087738492,Very High
MnCrS3,0.9948075353852462,Very High
Cr2CoI4,0.9948031408258055,Very High
Cr2FeS4,0.9947368865964766,Very High
MnVSe3,0.9946453872464089,Very High
MnCrTe3,0.994564545400839,Very High
MnCoO3,0.9945594075597827,Very High
Mn2Br3,0.9945173407376351,Very High
FeNiBr3,0.994452225833259,Very High
VCrCl3,0.9944232729358986,Very High
VCr2O4,0.9942308026475917,Very High
MnFeTe3,0.9942138068083557,Very High
MnCoS3,0.9941799978825642,Very High
FeNiCl3,0.9940191051339999,Very High
VCr2F4,0.9939456468502182,Very High
VCrTe3,0.9939235231449216,Very High
MnNiSe3,0.9937055080111655,Very High
Mn2Cl3,0.9934442001787693,Very High
MnVI3,0.993413354275561,Very High
CrNiBr3,0.993327692639446,Very High
MnVF3,0.9932471239128838,Very High
MnVCl4,0.9931954747096136,Very High
Mn(MoBr2)2,0.9931583502917866,Very High
CrNiO3,0.9931128183666468,Very High
MnVS3,0.9930481313614046,Very High
Mn2CuBr4,0.9929777491385281,Very High
MnCrCl4,0.9927914436357076,Very High
V(NiCl2)2,0.9926443052892086,Very High
Mn(MoI2)2,0.9926433853826293,Very High
Cr2NiI4,0.9926303564811512,Very High
FeCoO3,0.9925316644777014,Very High
VCrBr3,0.9922904140746123,Very High
MnCoTe3,0.9922734489072548,Very High
FeNiI3,0.9920934584293444,Very High
CrFeS3,0.991717958122469,Very High
CrCoF3,0.991684481148083,Very High
V(FeCl2)2,0.9916631751557683,Very High
Mn2O3,0.9915910851935938,Very High
Cr2NiF4,0.9914112921377511,Very High
MnVO3,0.9913858302345193,Very High
CoNiBr3,0.9913174372626135,Very High
V(FeO2)2,0.9911330764657634,Very High
Mn2I3,0.9910675844757886,Very High
V(FeTe2)2,0.9910044808324872,Very High
MnBrCl2,0.9910013155877867,Very High
Fe2NiF4,0.9908829426599642,Very High
CrBrCl2,0.9908389582188882,Very High
Mn2F3,0.9907284129737386,Very High
VCrSe3,0.990504749636732,Very High
MnCoSe3,0.9901776237533699,Very High
V(FeBr2)2,0.990014541449729,Very High
MnCrI4,0.9899101755439248,Very High
V(FeI2)2,0.9897105067213631,Very High
CrFeSe3,0.9896700710570815,Very High
V(CoCl2)2,0.9895017314583078,Very High
Fe2CoTe4,0.9894010368474241,Very High
Mn(MoCl2)2,0.989281419192743,Very High
CrFeTe3,0.9887694866226875,Very High
MnBr2Cl,0.9886078241267046,Very High
MnCuBr3,0.9885953096059177,Very High
VFeSe3,0.988501403552563,Very High
Mn2CuCl4,0.9883049418189397,Very High
VFeBr3,0.9879646106559761,Very High
Mn2NiTe4,0.987956726748764,Very High
VFeTe3,0.9878044661903143,Very High
MnPdCl3,0.9874939281423524,Very High
Cr2Cl3,0.9871050783404107,Very High
MnPdBr3,0.987087811104404,Very High
Mn2CoSe4,0.9870020419184066,Very High
CrCoI3,0.9869368759077173,Very High
Ti(CrCl2)2,0.9869130333282349,Very High
Cr2Br3,0.986872039375186,Very High
V(NiBr2)2,0.9868590223342891,Very High
Ti(MnCl2)2,0.9868545778275762,Very High
MnMoCl3,0.9868349898121488,Very High
MnNiS3,0.9867386087508432,Very High
Fe2CoS4,0.9866040310369352,Very High
VCrF3,0.9864713333609639,Very High
VFe2F4,0.9864597134631929,Very High
Mn2S3,0.9863041146736389,Very High
MnNbBr3,0.9860525491693588,Very High
Cr2FeSe4,0.9859456403165565,Very High
FeCoTe3,0.9859196693870055,Very High
MnIBr2,0.9854960324800933,Very High
CrCoO3,0.9854725690090897,Very High
Mn2CuO4,0.9853096632260536,Very High
CoNiCl3,0.9853093722786161,Very High
CrNiS3,0.9852247700174607,Very High
Ti(MnBr2)2,0.9851988925438465,Very High
Mn2CuI4,0.9851883289579998,Very High
V(FeSe2)2,0.9850720174564983,Very High
CrBr2Cl,0.9850469285049797,Very High
VFeCl3,0.9849398820096775,Very High
VFeI3,0.984927790857335,Very High
MnCuO3,0.9847162212907663,Very High
Co2NiBr4,0.9844277197534402,Very High
VCrI3,0.9844140616550096,Very High
FeCoSe3,0.9842633506034927,Very High
VNiCl3,0.984188315380355,Very High
MnVI4,0.9839211101742545,Very High
Fe2CoSe4,0.9834236141733257,Very High
V(FeS2)2,0.9832651979286058,Very High
CrNiI3,0.9825859047318173,Very High
Cr2F3,0.9824920220892721,Very High
MnWBr3,0.9820333054221504,Very High
MnMoI3,0.9818743407317828,Very High
MnPdI3,0.9818590442819339,Very High
MnNiTe3,0.9817213228516442,Very High
TaMnBr3,0.9814908720999601,Very High
Mn2CuF4,0.9814426700751822,Very High
MnCrF4,0.9812722119408143,Very High
FeNiSe3,0.9812084182084752,Very High
CrNiSe3,0.9806790157206272,Very High
VCrS3,0.9802887604034177,Very High
Co2NiO4,0.9802597506862041,Very High
MnI2Cl,0.9800191618631213,Very High
Mn(WBr2)2,0.979657913832804,Very High
Ti(CrI2)2,0.9796412082884013,Very High
Cr2CuCl4,0.979007149624472,Very High
CrNiBr4,0.9788348964025393,Very High
MnPdF3,0.9787973312066078,Very High
Ti(CrBr2)2,0.9787842137714927,Very High
MnI2Br,0.978689815651288,Very High
Mn2NiSe4,0.9784828661027898,Very High
MnWF3,0.9783931711477704,Very High
FeCoS3,0.9783888578592151,Very High
MnBr2F,0.9783773897667625,Very High
VFeO3,0.9783570475321415,Very High
V(CoO2)2,0.9783474728749978,Very High
Ti(MnI2)2,0.9779307161343823,Very High
VCo2F4,0.9770920175544576,Very High
MnICl2,0.976976351816572,Very High
Mn(RuBr2)2,0.9769376945800573,Very High
MnPtBr3,0.9767740340937993,Very High
FeNiS3,0.9766323204403012,Very High
VNiBr3,0.9765223654487292,Very High
CrCoBr4,0.976172227050635,Very High
VCrO3,0.9761315578243228,Very High
TiCr2F4,0.9758549656771832,Very High
MnMoF3,0.9757620711943877,Very High
Mn(RuCl2)2,0.9757563964639777,Very High
Fe2NiS4,0.9756412717528823,Very High
MnSeBr2,0.9755014895033581,Very High
Ti(FeO2)2,0.9752796635919675,Very High
V(NiO2)2,0.9752772126672677,Very High
V(NiI2)2,0.9751046369591128,Very High
MnSBr2,0.9747727159982574,Very High
VBrCl2,0.9747602673707483,Very High
VFeS3,0.9746772291669158,Very High
CrBrF2,0.9746073101973096,Very High
V(CoI2)2,0.9745526775672579,Very High
TiCr2O4,0.974519635332346,Very High
CrI2Br,0.9742587278985319,Very High
MnCl2O,0.9740614561591772,Very High
VFeF3,0.9738991628841348,Very High
Mn(PtBr2)2,0.9736987772764898,Very High
MnCuF3,0.9736733548258192,Very High
CrCl2F,0.9734380738206403,Very High
V(CoBr2)2,0.9733893879348805,Very High
MnCl2F,0.9732593407195733,Very High
MnBrO2,0.9731575288551296,Very High
VCoCl3,0.9731405870196882,Very High
CrIBr2,0.9730591210170451,Very High
MnMo2F4,0.9730540657783333,Very High
Co2NiCl4,0.9730168477026034,Very High
VNiSe3,0.9727539039027499,Very High
Fe2F3,0.9727484825292431,Very High
TaMnCl3,0.972468118510023,Very High
MnNbCl3,0.9724623507741854,Very High
Cr2CuBr4,0.9722904858587663,Very High
CrClF2,0.9718309943040554,Very High
TiMn2F4,0.9716615829626352,Very High
MnBrF2,0.9715982640445013,Very High
MnMoO3,0.971314000689486,Very High
MnO3,0.9710896075349278,Very High
Ti(FeI2)2,0.9710869691955107,Very High
TaMnF3,0.9710592951873012,Very High
CrBr2F,0.971010746808923,Very High
CrNiF3,0.9709109729803792,Very High
MnRuCl3,0.970823133418308,Very High
CrCoSe3,0.9707230496967315,Very High
CrMoBr3,0.9706235030533884,Very High
MnClO2,0.9705618698987732,Very High
CoNiI3,0.9704950330339355,Very High
FeNiF3,0.9704887889400834,Very High
CrI2Cl,0.9702192796657283,Very High
TaMnO3,0.9698848366666545,Very High
CrICl2,0.9698205526130482,Very High
MnVF4,0.9695231674981051,Very High
MnClF2,0.9694042777169676,Very High
MnPdO3,0.9692955336345044,Very High
TiCrBr3,0.9692360055561066,Very High
TiMnCl3,0.9691637156431286,Very High
Cr2CuO4,0.9687958079398679,Very High
FeMoBr3,0.9686694344212997,Very High
TiMn2O4,0.9684894045101937,Very High
V(CoTe2)2,0.967989067707664,Very High
CoNiO3,0.9679750913375684,Very High
Fe2O3,0.9678536291506409,Very High
Cr2I3,0.9678123447720441,Very High
Ti(FeBr2)2,0.9677721023157836,Very High
TiFe2F4,0.9677386199722774,Very High
MnPtCl3,0.9676303048166013,Very High
Ti(FeCl2)2,0.967583837588492,Very High
CrFeBr4,0.9672930390441346,Very High
CrCoS3,0.9670858568568423,Very High
TaFeF3,0.9670578389948639,Very High
Mn2CuS4,0.9666078291168161,Very High
TiCrCl3,0.9665117267649777,Very High
CrCoCl4,0.9664720431285305,Very High
Fe2CuCl4,0.9661254170249161,Very High
Fe2I3,0.9659907849196747,Very High
Fe2NiSe4,0.9651013161114177,Very High
Fe2Br3,0.9650271647922087,Very High
Mn(PtCl2)2,0.9649003951851679,Very High
Cr2O3,0.964022353754565,Very High
CrCoTe3,0.963983973375649,Very High
NbCrBr3,0.9637838055711526,Very High
CrRuCl3,0.9636259575500985,Very High
Ti(CrS2)2,0.9634229522307889,Very High
Co2NiF4,0.9633868390068441,Very High
CoNiF3,0.9632588170857916,Very High
TaMnI3,0.9632324430641128,Very High
TiMnBr3,0.9630613718035,Very High
TaFeS3,0.9630349677718322,Very High
Cr2CuF4,0.9625714323566265,Very High
HfMnBr3,0.9625515211344788,Very High
VCoTe3,0.9621486933487169,Very High
Fe2S3,0.9618392914860977,Very High
MnPdS3,0.9615286195912447,Very High
Fe2CuF4,0.9613816639301009,Very High
Mn(MoO2)2,0.9612775947569695,Very High
Fe2Cl3,0.9612412644265436,Very High
TaFeI3,0.9612025446645484,Very High
MnNbO3,0.9611914168484132,Very High
TaFeO3,0.9606801520614162,Very High
MnRuBr3,0.9604027148220605,Very High
FeBrCl2,0.9592831381637347,Very High
TaFeCl3,0.9591403347974565,Very High
VCoBr3,0.9590226191497477,Very High
CrClO2,0.9583562979067377,Very High
NbFeO3,0.957903015230026,Very High
CrBrO2,0.9574198007573287,Very High
MnI2F,0.9573840582878766,Very High
VNi2F4,0.9571479227896227,Very High
Fe(MoI2)2,0.9567254816586375,Very High
CrNiCl4,0.9564264804740268,Very High
Fe(RuO2)2,0.9562156940492125,Very High
Fe2CuI4,0.9561073610021901,Very High
MnNbF3,0.9559073325155567,Very High
Ti(CrSe2)2,0.9557129171508761,Very High
Fe2CuBr4,0.9555732643661091,Very High
Fe2Se3,0.9554886142449909,Very High
Ti(CrTe2)2,0.9551552216003302,Very High
NbFeBr3,0.9551019859348189,Very High
MnPdSe3,0.954899438060059,Very High
CrRuO3,0.9548668222555279,Very High
V(NiTe2)2,0.9536150968183934,Very High
FeWF3,0.9533366983350101,Very High
Nb2CrF4,0.9532711238662488,Very High
V(CoSe2)2,0.9531624814851961,Very High
MnWCl3,0.9529633564930118,Very High
Mn(WF2)2,0.9527328494958415,Very High
CrFeCl4,0.951852606062429,Very High
MnSeCl2,0.9518367200676532,Very High
FeRuO3,0.9517910753653303,Very High
Co(MoI2)2,0.9516175193393828,Very High
Co2NiI4,0.9512829597264737,Very High
TiCrF3,0.9510119251734777,Very High
CoMoBr3,0.9509403615272668,Very High
CrCuO3,0.9505983586968921,Very High
MnIF2,0.9505425968174347,Very High
MnIO2,0.95053495683169,Very High
VNiO3,0.9500025510723756,Very High
MnS2Cl,0.9498028357498278,High
MnTe3Pd,0.9491927693906931,High
MnRuO3,0.9487643124415577,High
MnO2F,0.9484394205417038,High
Mn(WCl2)2,0.9483419186097867,High
HfMnCl3,0.9472719585051929,High
Ni(MoBr2)2,0.9465297894404613,High
MnSe2Cl,0.9462897753831131,High
TiCrI3,0.9462602813161628,High
VNiF3,0.9460626233746848,High
TaFeBr3,0.9458571880869097,High
MnWO3,0.9452110269101229,High
VICl2,0.9451281554835114,High
VCoSe3,0.9451081436753932,High
VNiI3,0.9450218569960915,High
VCoI3,0.9449997539621944,High
NbFeF3,0.944796478173761,High
TiCrSe3,0.9446309260490163,High
MnSe2Br,0.9443404167969185,High
Co(MoCl2)2,0.9441053467977446,High
Mn2CuTe4,0.9440391036964495,High
Cr2CuI4,0.943884569495807,High
MnTeCl2,0.9437586917125165,High
Nb2FeO4,0.9435844423791968,High
CrS2Br,0.9435232108749109,High
MnRu2F4,0.94331118276538,High
MnPtI3,0.9431299654961639,High
VMoBr3,0.9430937682610362,High
CrCuBr3,0.943037376845533,High
NbFeS3,0.9427193597215636,High
MnMoS3,0.9425851860842821,High
Mn(PtI2)2,0.9425623190724133,High
MnRuI3,0.9423890963230348,High
Nb2CrO4,0.9421488294392674,High
MnSeI2,0.942107098948626,High
MnPtO3,0.9420916467315346,High
MnTe3Mo,0.9420371627651769,High
CoBrCl2,0.9418758285791583,High
MnWI3,0.9409963628183792,High
Cr(RuCl2)2,0.9406356612133908,High
Ti(MnTe2)2,0.940002437246152,High
Cr2Te3,0.9398148541446553,High
Nb2CrI4,0.9395107925941745,High
VCoF3,0.9393749035742726,High
VRuCl3,0.9393242376128638,High
CrFeI4,0.9392841064418649,High
Fe2NiTe4,0.9386939974830837,High
Mn(PtO2)2,0.9383509493054595,High
CoCuO3,0.9381756756511741,High
MnRuF3,0.937686409171812,High
Mn(WI2)2,0.9373296219398878,High
VCrCl4,0.9372781313078782,High
TiCrO3,0.9371214810242317,High
CrS2Cl,0.9369845968365911,High
CrIF2,0.9366993956222182,High
FePdO3,0.9365778284300934,High
FeBr2Cl,0.9362427611708587,High
MnCuSe3,0.9360642191095019,High
CrI2F,0.9358611637225527,High
V(NiS2)2,0.9358456625309728,High
MnSI2,0.9357001798267939,High
VI2Br,0.935524439815927,High
VNiTe3,0.9351913565621027,High
Cr2CuS4,0.9351045516337881,High
VIBr2,0.9350878248525332,High
CrRu2F4,0.9349137840720384,High
Zr2MnCl4,0.9348298814269541,High
TaCoF3,0.9346683189046925,High
Cr(RuO2)2,0.9345302826764048,High
MnWSe3,0.9343313543439823,High
MnTe2Br,0.9343038207929241,High
VBr2Cl,0.934243499972273,High
MnS2Br,0.9338671475671116,High
